workunit,swathpolygon_link
OR_HarneySilver_1_2020,s3://prd-tnm/StagedProducts/Elevation/metadata/OR_HarneySilver_2020_A20/OR_HarneySilver_1_2020/spatial_metadata/USGS/USGS_OR_HarneySilver_1_2020_SwathPoly/USGS_OR_HarneySilver_1_2020_SwathPoly.shp
OR_HarneySilver_2_2020,s3://prd-tnm/StagedProducts/Elevation/metadata/OR_HarneySilver_2020_A20/OR_HarneySilver_2_2020/spatial_metadata/USGS/USGS_OR_HarneySilver_2_2020_SwathPoly/USGS_OR_HarneySilver_2_2020_SwathPoly.shp
VT_Eastern_Vermont_3_2014,s3://prd-tnm/StagedProducts/Elevation/metadata/Eastern_Vermont_LiDAR_FY2014/VT_Eastern_Vermont_3_2014/spatial_metadata/USGS/USGS_VT_Eastern_Vermont_3_2014_SWATH_POLY.shp
TN_WestTN_B1_2019,s3://prd-tnm/StagedProducts/Elevation/metadata/TN_WestTN_2019_B19/TN_WestTN_B1_2019/spatial_metadata/USGS/USGS_TN_WestTN_B1_2019_Swath_Poly.shp
ND_3DEPProcessing_2_D22,s3://prd-tnm/StagedProducts/Elevation/metadata/ND_3DEPProcessing_D22/ND_3DEPProcessing_2_D22/spatial_metadata/USGS/USGS_ND_3DEPProcessing_2_D22_Swath_Poly/USGS_ND_3DEPProcessing_2_D22_Swath_Poly.shp
ND_3DEPProcessing_4_D22,s3://prd-tnm/StagedProducts/Elevation/metadata/ND_3DEPProcessing_D22/ND_3DEPProcessing_4_D22/spatial_metadata/USGS/USGS_ND_3DEPProcessing_4_D22_Swath_Poly.shp
IN_Statewide_Opt1_B2_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/IN_Indiana_Statewide_LiDAR_2017_B17/IN_Statewide_Opt1_B2_2017/spatial_metadata/USGS/USGS_IN_Statewide_Opt1_B2_2017_SwathPoly.shp
IN_Statewide_B2_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/IN_Indiana_Statewide_LiDAR_2017_B17/IN_Statewide_B2_2017/spatial_metadata/USGS/USGS_IN_Statewide_B2_2017_SwathPoly.shp
IN_Statewide_Opt2_B3_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/IN_Indiana_Statewide_LiDAR_2017_B17/IN_Statewide_Opt2_B3_2017/spatial_metadata/USGS/USGS_IN_Statewide_Opt2_B3_2017_SwathPoly.shp
IN_Statewide_Opt1_B3_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/IN_Indiana_Statewide_LiDAR_2017_B17/IN_Statewide_Opt1_B3_2017/spatial_metadata/USGS/USGS_IN_Statewide_Opt1_B3_2017_SwathPoly.shp
NJ_NW6Co_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/NJ_NW_New_Jersey_6_County_Lidar_2017_B17/NJ_NW6Co_2017/spatial_metadata/USGS/USGS_NJ_NW6Co_2017_SWATH_POLY.shp
OR_HarneySilver_3_2020,s3://prd-tnm/StagedProducts/Elevation/metadata/OR_HarneySilver_2020_A20/OR_HarneySilver_3_2020/spatial_metadata/USGS/USGS_OR_HarneySilver_3_2020_SwathPoly/USGS_OR_HarneySilver_3_2020_SwathPoly.shp
KS_Statewide_B12_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B12_2018/spatial_metadata/USGS/USGS_KS_Statewide_B12_2018_SWATH_POLY.shp
